src,dst,transport,min_ms,avg_ms,max_ms,mdev_ms
gwc-z1a,gwc-z1b,intra-vnet-private,0.169,0.62,7.866,0.982
gwc-z1a,gwc-z2,intra-vnet-private,0.529,1.4,15.447,2.346
gwc-z1a,gwc-z3,intra-vnet-private,0.376,1.024,10.139,1.578
gwc-z1a,vm-chn,backbone-public,6.374,6.852,13.135,0.844
gwc-z1a,vm-frc,backbone-public,7.517,8.913,23.548,2.136
gwc-z1a,vm-neu,backbone-public,22.996,24.892,33.311,2.135
gwc-z1a,vm-sec,backbone-public,23.758,27.623,48.982,4.151
gwc-z1a,vm-weu,backbone-public,7.396,7.98,13.471,1.104
gwc-z1b,gwc-z1a,intra-vnet-private,0.16,0.932,11.997,1.665
gwc-z1b,gwc-z2,intra-vnet-private,0.393,0.763,9.1,0.885
gwc-z1b,gwc-z3,intra-vnet-private,0.364,1.102,11.841,1.778
gwc-z2,gwc-z1a,intra-vnet-private,0.543,1.15,11.753,1.415
gwc-z2,gwc-z1b,intra-vnet-private,0.398,0.879,10.306,1.214
gwc-z2,gwc-z3,intra-vnet-private,0.519,1.233,12.619,1.724
gwc-z3,gwc-z1a,intra-vnet-private,0.375,1.041,12.017,1.557
gwc-z3,gwc-z1b,intra-vnet-private,0.363,1.222,12.549,2.123
gwc-z3,gwc-z2,intra-vnet-private,0.536,0.845,6.87,0.741
vm-chn,gwc-z1a,backbone-public,6.361,7.255,16.345,1.581
vm-chn,vm-frc,backbone-public,13.422,14.905,27.035,2.22
vm-chn,vm-neu,backbone-public,28.44,28.913,34.51,0.5
vm-chn,vm-sec,backbone-public,30.666,33.38,52.192,3.764
vm-chn,vm-weu,backbone-public,14.061,15.028,23.717,1.717
vm-frc,gwc-z1a,backbone-public,7.535,9.279,19.237,2.276
vm-frc,vm-chn,backbone-public,13.443,14.807,24.234,2.141
vm-frc,vm-neu,backbone-public,15.441,16.95,25.278,2.134
vm-frc,vm-sec,backbone-public,35.247,39.066,59.432,4.141
vm-frc,vm-weu,backbone-public,9.166,10.733,23.749,2.6
vm-neu,gwc-z1a,backbone-public,23.113,24.304,31.75,1.635
vm-neu,vm-chn,backbone-public,28.47,29.106,84.767,1.776
vm-neu,vm-frc,backbone-public,15.434,16.822,30.529,2.105
vm-neu,vm-sec,backbone-public,28.341,31.102,48.412,3.693
vm-neu,vm-weu,backbone-public,14.797,15.522,23.666,1.106
vm-sec,gwc-z1a,backbone-public,23.739,27.241,42.719,3.98
vm-sec,vm-chn,backbone-public,30.665,32.851,42.707,2.673
vm-sec,vm-frc,backbone-public,35.232,38.539,55.137,3.495
vm-sec,vm-neu,backbone-public,28.333,31.867,44.154,3.941
vm-sec,vm-weu,backbone-public,24.683,27.456,39.293,3.13
vm-weu,gwc-z1a,backbone-public,7.407,8.632,17.897,1.73
vm-weu,vm-chn,backbone-public,14.089,14.901,22.716,1.112
vm-weu,vm-frc,backbone-public,9.175,10.772,23.747,2.215
vm-weu,vm-neu,backbone-public,14.824,15.558,20.971,0.892
vm-weu,vm-sec,backbone-public,24.716,27.753,46.505,3.856
